"","ecode","onscode","authority","region","class","tstb2223","tstb2324","avebandd_expp2223","avebandd_expp2324"
"1","TE","TE","England","Eng","Eng",18473358.84634,18749055,1929.4,2027.31
"2","ILB","ILB","Inner London Boroughs","[z]","ILB",1204564.13625,1228464.2,1041.24,1085.5
"3","OLB","OLB","Outer London Boroughs","[z]","OLB",1869008.948,1894198.2,1448.67,1530.36
"4","MD","MD","Metropolitan Districts","[z]","MD",3211192.25555,3261768.3,1656.98,1735.56
"5","UA","UA","Unitary Authorities","[z]","UA",5342536.25026,5424328.5,1653.7,1733.33
"6","SD","SD","Shire Districts","[z]","SD",6846057.25628,6940295.8,198.97,204.21
"303","CA","CA","Combined Authorities","[z]","CA",1193334.9,1519228.9,0,64.04
"304","MF","MF","Metropolitan Fire","[z]","MF",2432689.2,2468683.91,75.36,80.37
"305","SC","SC","Shire Counties","[z]","SC",6846447.4,6940294.98,1496.86,1564.91
"306","CFA","CFA","Combined Fire and Rescue Authorities","[z]","CFA",8872766.6,9177536.37,81.96,86.98
"307","PCC","PCC","Police authorities ex Met Police","[z]","PCC",15399775.7,15626923.5,240.41,255.29
"308","[z]","E12000007","Greater London Authority","L","GLA",0,0,395.59,434.14
"309","E5101","[z]","of which: Whole of GLA's area","[z]","[z]",3065256.1,3122662,118.46,142.01
"310","E5102","[z]","of which: London Boroughs less City of London (GLA - Police function)","[z]","[z]",3073573.4,3113799.1,277.13,292.13
"311","E6348","E47000001","Greater Manchester Combined Authority","NW","[z]",778503.1,793084.3,331.25,351.25
"312","E6348a","[z]","of which: Greater Manchester Combined Authority - Police Functions","[z]","PCC",778503.1,793084.3,228.3,243.3
"313","E6348b","[z]","of which: Greater Manchester Combined Authority - General Functions","[z]","CA",778503.1,793084.3,102.95,107.95
"314","E6353","E47000003","West Yorkshire Combined Authority","YH","[z]",668224,675184.2,221.28,236.28
"315","E6353a","[z]","of which: West Yorkshire Combined Authority - Police Functions","[z]","PCC",668224,675184.2,221.28,236.28
"316","E6353b","[z]","of which: West Yorkshire Combined Authority - General Functions","[z]","CA",0,0,0,0
"7","E3831","E07000223","Adur","SE","SD",21699.7,21937.3,317.61,324
"8","E1031","E07000032","Amber Valley","EM","SD",40307.1,41085.9,181.53,186.53
"9","E3832","E07000224","Arun","SE","SD",63011,64159,196.47,202.34
"10","E3031","E07000170","Ashfield","EM","SD",34052.7,34428.3,195.46,201.21
"11","E2231","E07000105","Ashford","SE","SD",48663.995,48906,177.5,182.5
"12","E3531","E07000200","Babergh","E","SD",34878.19115,35437.4,177.34,182.64
"13","E5030","E09000002","Barking and Dagenham","L","OLB",52079.2,53326.9,1389.24,1458.57
"14","E5031","E09000003","Barnet","L","OLB",150833.7,153073,1350.7,1402.03
"15","E4401","E08000016","Barnsley","YH","MD",66584.6,66446.8,1641.55,1705.57
"16","E1531","E07000066","Basildon","E","SD",61376.224,61230.2,278.91,287.19
"17","E1731","E07000084","Basingstoke & Deane","SE","SD",67823.4375,69037.3,136.42,136.42
"18","E3032","E07000171","Bassetlaw","EM","SD",36396.8,37260.5,188.48,194.12
"19","E0101","E06000022","Bath & North East Somerset","SW","UA",67853.7,68609.9,1575.3,1653.9
"20","E0202","E06000055","Bedford","E","UA",61941.99095,62443,1688.94,1737.92
"21","E5032","E09000004","Bexley","L","OLB",82064.8,83123.6,1527.4,1603.62
"22","E4601","E08000025","Birmingham","WM","MD",258361.9994,263262,1552.68,1630.16
"23","E2431","E07000129","Blaby","EM","SD",34246.2,34369.7,178.32,183.65
"24","E2301","E06000008","Blackburn with Darwen","NW","UA",35439.3355,36292.8,1697.85,1782.58
"25","E2302","E06000009","Blackpool","NW","UA",37140,37830,1749.92,1837.23
"26","E1032","E07000033","Bolsover","EM","SD",22443.3,22900.7,191.28,197
"27","E4201","E08000001","Bolton","NW","MD",77795.34,78820.4,1622.89,1687.64
"28","E2531","E07000136","Boston","EM","SD",20051,20274,239.41,246.56
"29","E1204","E06000058","Bournemouth, Christchurch & Poole","SW","UA",142813.9538,144838.7,1603.23,1683.23
"30","E0301","E06000036","Bracknell Forest","SE","UA",48249,48756,1466.19,1539.36
"31","E4701","E08000032","Bradford","YH","MD",143419.9851,143920,1543.93,1620.98
"32","E1532","E07000067","Braintree","E","SD",54957.022,55801,189.63,194.31
"33","E2631","E07000143","Breckland","E","SD",45031.4,45925.2,105.46,110.46
"34","E5033","E09000005","Brent","L","OLB",98730,101187,1419.48,1490.31
"35","E1533","E07000068","Brentwood","E","SD",33171.9,33870,198.63,204.58
"36","E1401","E06000043","Brighton & Hove","SE","UA",91203.985,91986.3,1794.35,1883.95
"37","E0102","E06000023","Bristol","SW","UA",127917,129654,1901.22,1996.09
"38","E2632","E07000144","Broadland","E","SD",47457,48127,132.44,132.44
"39","E5034","E09000006","Bromley","L","OLB",133347,134093,1341.13,1408.05
"40","E1831","E07000234","Bromsgrove","WM","SD",37511,37919.5,238,242.74
"41","E1931","E07000095","Broxbourne","E","SD",35722.078,36137.2,148.24,153.24
"42","E3033","E07000172","Broxtowe","EM","SD",34530,34861.9,177.57,182.79
"43","E2333","E07000117","Burnley","NW","SD",23487,23544,318.49,328.01
"44","E4202","E08000002","Bury","NW","MD",55611.4,56708.4,1741.41,1828.31
"45","E0402","E06000060","Buckinghamshire","SE","UA",225030.7,228998,1676.9,1760.74
"46","E4702","E08000033","Calderdale","YH","MD",62507.1,63146.6,1674.21,1757.74
"47","E0531","E07000008","Cambridge","E","SD",44099.6,44837.4,212.5,218.85
"48","E5011","E09000007","Camden","L","ILB",90218.9965,92555,1396.63,1466.32
"49","E3431","E07000192","Cannock Chase","WM","SD",29458.1,29851.1,230.04,236.92
"50","E2232","E07000106","Canterbury","SE","SD",51259.8162,52372.8,226.17,232.92
"51","E1534","E07000069","Castle Point","E","SD",31181.475,31258,273.69,281.79
"52","E0203","E06000056","Central Bedfordshire","E","UA",109359.954,111606,1669.02,1669.02
"53","E2432","E07000130","Charnwood","EM","SD",58819,59186.3,158.57,163.57
"54","E1535","E07000070","Chelmsford","E","SD",70141.65166,70762.9,208.86,215.08
"55","E1631","E07000078","Cheltenham","SW","SD",43423.7958,43650,224.08,230.78
"56","E3131","E07000177","Cherwell","SE","SD",56801.6,58184.3,143.5,148.5
"57","E0603","E06000049","Cheshire East","NW","UA",156607.506,158778.5,1626.24,1707.39
"58","E0604","E06000050","Cheshire West and Chester","NW","UA",125464.5755,127573.9,1709.23,1794.52
"59","E1033","E07000034","Chesterfield","EM","SD",29858.07675,30222.4,179.89,185.27
"60","E3833","E07000225","Chichester","SE","SD",55043.6,56330.1,175.81,181.07
"61","E2334","E07000118","Chorley","NW","SD",38108,38342.5,199.66,203.63
"62","E5010","E09000001","City of London","L","ILB",8317.3,8862.9,915.47,961.15
"63","E1536","E07000071","Colchester","E","SD",64730.55,65865.1,205.47,211.58
"64","E0801","E06000052","Cornwall","SW","UA",203074.6192,206062.3,1717.11,1802.79
"65","E1632","E07000079","Cotswold","SW","SD",42192.9232,42374.2,143.93,148.93
"66","E4602","E08000026","Coventry","WM","MD",84264.3,86075.2,1819.88,1909.87
"67","E3834","E07000226","Crawley","SE","SD",35758.2,35952.7,218.79,225.34
"68","E5035","E09000008","Croydon","L","OLB",136370.8,137230.9,1570.07,1805.42
"69","E0901","E06000063","Cumberland","NW","UA",87047.2955,88328.6,1648.58,1730.84
"70","E1932","E07000096","Dacorum","E","SD",59328.3,59922.3,216.36,222.63
"71","E1301","E06000005","Darlington","NE","UA",34464.494,34814.5,1692.84,1777.33
"72","E2233","E07000107","Dartford","SE","SD",39544.2,40288.4,181.35,181.35
"73","E1001","E06000015","Derby","EM","UA",70030.6,71038.7,1577.93,1656.67
