"","ecode","onscode","authority","region","class","tstb_2223","tstb_2324","areabandd_2324"
"1","TE","TE","England","Eng","Eng",18473358.84634,18749055,0
"2","ILB","ILB","Inner London Boroughs","[z]","ILB",1204564.13625,1228464.2,1517.98
"3","OLB","OLB","Outer London Boroughs","[z]","OLB",1869008.948,1894198.2,1964.5
"4","MD","MD","Metropolitan Districts","[z]","MD",3211192.25555,3261768.3,2059.24
"5","UA","UA","Unitary Authorities","[z]","UA",5342536.25026,5424328.5,2139.11
"6","SD","SD","Shire Districts","[z]","SD",6846057.25628,6940295.8,2134.19
"7","E3831","E07000223","Adur","SE","SD",21699.7,21937.3,2217.39
"8","E1031","E07000032","Amber Valley","EM","SD",40307.1,41085.9,2086.33
"9","E3832","E07000224","Arun","SE","SD",63011,64159,2158.28
"10","E3031","E07000170","Ashfield","EM","SD",34052.7,34428.3,2293.63
"11","E2231","E07000105","Ashford","SE","SD",48663.995,48906,2100.73
"12","E3531","E07000200","Babergh","E","SD",34878.19115,35437.4,2034.74
"13","E5030","E09000002","Barking and Dagenham","L","OLB",52079.2,53326.9,1892.71
"14","E5031","E09000003","Barnet","L","OLB",150833.7,153073,1836.17
"15","E4401","E08000016","Barnsley","YH","MD",66584.6,66446.8,2033.15
"16","E1531","E07000066","Basildon","E","SD",61376.224,61230.2,2062.98
"17","E1731","E07000084","Basingstoke & Deane","SE","SD",67823.4375,69037.3,1953.93
"18","E3032","E07000171","Bassetlaw","EM","SD",36396.8,37260.5,2317.01
"19","E0101","E06000022","Bath & North East Somerset","SW","UA",67853.7,68609.9,2052.09
"20","E0202","E06000055","Bedford","E","UA",61941.99095,62443,2132.39
"21","E5032","E09000004","Bexley","L","OLB",82064.8,83123.6,2037.76
"22","E4601","E08000025","Birmingham","WM","MD",258361.9994,263262,1913.02
"23","E2431","E07000129","Blaby","EM","SD",34246.2,34369.7,2184.24
"24","E2301","E06000008","Blackburn with Darwen","NW","UA",35439.3355,36292.8,2120.87
"25","E2302","E06000009","Blackpool","NW","UA",37140,37830,2170.95
"26","E1032","E07000033","Bolsover","EM","SD",22443.3,22900.7,2200.71
"27","E4201","E08000001","Bolton","NW","MD",77795.34,78820.4,2044.63
"28","E2531","E07000136","Boston","EM","SD",20051,20274,2067.74
"29","E1204","E06000058","Bournemouth, Christchurch & Poole","SW","UA",142813.9538,144838.7,2055.34
"30","E0301","E06000036","Bracknell Forest","SE","UA",48249,48756,1956.79
"31","E4701","E08000032","Bradford","YH","MD",143419.9851,143920,1955.79
"32","E1532","E07000067","Braintree","E","SD",54957.022,55801,2010.38
"33","E2631","E07000143","Breckland","E","SD",45031.4,45925.2,2114.41
"34","E5033","E09000005","Brent","L","OLB",98730,101187,1924.45
"35","E1533","E07000068","Brentwood","E","SD",33171.9,33870,1988.6
"36","E1401","E06000043","Brighton & Hove","SE","UA",91203.985,91986.3,2228.83
"37","E0102","E06000023","Bristol","SW","UA",127917,129654,2345.24
"38","E2632","E07000144","Broadland","E","SD",47457,48127,2120.75
"39","E5034","E09000006","Bromley","L","OLB",133347,134093,1842.19
"40","E1831","E07000234","Bromsgrove","WM","SD",37511,37919.5,2097.25
"41","E1931","E07000095","Broxbourne","E","SD",35722.078,36137.2,1996.87
"42","E3033","E07000172","Broxtowe","EM","SD",34530,34861.9,2292.75
"43","E2333","E07000117","Burnley","NW","SD",23487,23544,2243.8
"44","E4202","E08000002","Bury","NW","MD",55611.4,56708.4,2179.56
"45","E0402","E06000060","Buckinghamshire","SE","UA",225030.7,228998,2176.85
"46","E4702","E08000033","Calderdale","YH","MD",62507.1,63146.6,2085.92
"47","E0531","E07000008","Cambridge","E","SD",44099.6,44837.4,2126.16
"48","E5011","E09000007","Camden","L","ILB",90218.9965,92555,1900.46
"49","E3431","E07000192","Cannock Chase","WM","SD",29458.1,29851.1,2081.42
"50","E2232","E07000106","Canterbury","SE","SD",51259.8162,52372.8,2114.65
"51","E1534","E07000069","Castle Point","E","SD",31181.475,31258,2054.48
"52","E0203","E06000056","Central Bedfordshire","E","UA",109359.954,111606,2169.76
"53","E2432","E07000130","Charnwood","EM","SD",58819,59186.3,2118.69
"54","E1535","E07000070","Chelmsford","E","SD",70141.65166,70762.9,2024.84
"55","E1631","E07000078","Cheltenham","SW","SD",43423.7958,43650,2059.43
"56","E3131","E07000177","Cherwell","SE","SD",56801.6,58184.3,2242.65
"57","E0603","E06000049","Cheshire East","NW","UA",156607.506,158778.5,2109.02
"58","E0604","E06000050","Cheshire West and Chester","NW","UA",125464.5755,127573.9,2169.45
"59","E1033","E07000034","Chesterfield","EM","SD",29858.07675,30222.4,2034.06
"60","E3833","E07000225","Chichester","SE","SD",55043.6,56330.1,2130.28
"61","E2334","E07000118","Chorley","NW","SD",38108,38342.5,2133.12
"62","E5010","E09000001","City of London","L","ILB",8317.3,8862.9,1145.64
"63","E1536","E07000071","Colchester","E","SD",64730.55,65865.1,2011.41
"64","E0801","E06000052","Cornwall","SW","UA",203074.6192,206062.3,2221.39
"65","E1632","E07000079","Cotswold","SW","SD",42192.9232,42374.2,2063.63
"66","E4602","E08000026","Coventry","WM","MD",84264.3,86075.2,2185.99
"67","E3834","E07000226","Crawley","SE","SD",35758.2,35952.7,2098.66
"68","E5035","E09000008","Croydon","L","OLB",136370.8,137230.9,2239.56
