name,value,year
year_1,2819258.60259904,1
year_2,2990951.451497322,2
year_3,3173100.394893509,3
year_4,3366342.2089425246,4
year_5,3571352.4494671235,5
year_6,3788847.813639672,6
year_7,4019588.6454903283,7
year_8,4264381.59400069,8
year_9,4524082.433075332,9
year_10,4799599.05324962,10
year_11,5091894.635592521,11
year_12,5401991.018900106,12
year_13,5730972.271951124,13
year_14,6079988.483312949,14
year_15,6450259.781946705,15
year_16,6843080.602667262,16
year_17,7259824.211369698,17
year_18,7701947.505842113,18
year_19,8170996.108947896,19
year_20,8668609.771982824,20
year_21,9196528.107096579,21
year_22,9756596.668818763,22
year_23,10350773.405949825,23
year_24,10981135.50637217,24
year_25,11649886.658710234,25
year_26,12359364.75622569,26
year_27,13112050.069879835,27
year_28,13910573.919135518,28
year_29,14757727.870810874,29
