"","Ecode","Authority","Class","...4","1. Council Tax Requirement for billing authority including special expenses, local precepts and Adult Social Care Precept.","...6","2. Parish precepts","...8","3. Council Tax Requirement for billing authority (including special expenses and Adult Social Care precept, but excluding local precepts)","...10","3a. Levies and special levies","...12","4. Tax base (after council tax reduction scheme)","...14","5. Estimated collection rate (%)","...16","6. Tax base adjustment (contributions in lieu of Class O exempt dwellings)","...18","7. Council tax base for council tax setting purposes","...20","8. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and local precepts)","...22","9. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and excluding local precepts)","...24","10. Total Adult Social Care precept","11a. Adult Social Care precept element of the 2017-18 Average (Band D 2 Adult equivalent) council tax (£)","11b. Adult Social Care precept as a percentage of the 2016-17 Average Band D 2 Adult equivalent council tax, excluding local precepts, (maximum 2%)","12. Is the council tax your authority set subject to a referendum?","13. Are one or more precepting authorities in your area holding a referendum?","14. Average council tax of major precepting authorities in the billing authority's area","...31","...32","15. Average (Band D 2 adult equivalent) council tax for area of the billing authority including both local and major precepts.  (Lines 8+ 14(a) + 14(b) + 14(c))","16. All parishes that exist in the authority's area in 2016-17 (whether they set a precept or not)","...35","17. Charter Trustees in the authority's area - 2016-17","...37","18. Precepting parishes, Charter Trustees and Temples in the authority's area setting a precept in 2016-17","...39"
"1",NA,NA,NA,NA,"2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18",NA,NA,NA,NA,NA,"County or GLA","Police","Fire",NA,"Number","CTB","Number","Tax Base","Number","Tax Base"
"2","Eng","England",NA,NA,"26081643303.623581","27643039623.547729","445064645.56","485474127.70999998","25662913969.06358","27157565495.83773","1239063384.7591319","1243450402.5399997","17353933.125320796","17677189.235007431","98.055544366317463","98.116761717139028","35185.704999999994","35243.360000000008","17051679.299999993","17379528.999999993","1529.5644988833205","1590.5517130842695","1505.0080122644338","1562.6180373379361","552179382.35238075",31.7718266330682,2.11,"-","-","-","-","-","1590.52","10196","7862454.4300000016","14","236752.41999999998","8840","7954373.5799999982"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","E3831","Adur","SD",NA,"6047640","6213030","364870","364870","5682770","5848160","257210","265800","21155.26","21347.73","97","97","0","0","20520.599999999999","20707.3","294.70999999999998","300.04000000000002","276.93","282.42","0",0,0,"No","No","1255.5899999999999","153.91","0","1709.54","3","8890.9","0","0","2","8871.1999999999989"
"5","E0931","Allerdale","SD",NA,"6511484","6833083","1797647","1913535","4713837","4919548","0","0","30226.33","30642.74","97.5","98.5","0","0","29470.7","30183.1","220.95","226.39","159.94999999999999","162.99","0",0,0,"No","No","1281.02","220.77","0","1728.1799999999998","62","30183.1","0","0","61","30165.7"
"6","E1031","Amber Valley","SD",NA,"7356041","7785275","1665496","1798083","5690545","5987192","0","0","37932.210000000006","38634.68","99","99","1.2","1.2","37554.1","38249.5","195.88","203.54","151.53","156.53","0",0,0,"No","No","1211.6600000000001","180.6","72.58","1668.3799999999999","34","38249.5","0","0","31","36870.949999999997"
"7","E3832","Arun","SD",NA,"13397557","14244303","3783762","4061274","9613795","10183029","210164","167705","58151.9","59814.9","99.4","99.4","0","0","57803","59456","231.78","239.58","166.32","171.27","0",0,0,"No","No","1255.5899999999999","153.91","0","1649.08","31","59456","0","0","27","59232"
"8","E3031","Ashfield","SD",NA,"5879029","6158037","275486","284750","5603543","5873287","0","0","32226.3","32782.5","99.1","99.1","0","58.7","31936.3","32546.2","184.09","189.21","175.46","180.46","0",0,0,"No","No","1351.97","183.42","75.290000000000006","1799.89","2","4194.8","0","0","2","4194.8"
"9","E2231","Ashford","SD",NA,"7957122","8313363.5999999996","1394622","1433926.42","6562500","6879437.1799999997","241000","250000","44191.919191919194","45122.898989898989","99","99","0","0","43750","44671.7","181.88","186.1","150","154","0",0,0,"No","No","1178.82","157.15","73.349999999999994","1595.4199999999998","39","28132.9","0","0","39","28132.9"
"10","E0431","Aylesbury Vale","SD",NA,"15454689","16409974","4986889","5338574","10467800","11071400","0","0","70114.600000000006","71829.899999999994","98.4","98.4","416.7","426","69409.5","71106.600000000006","222.66","230.78","150.81","155.69999999999999","0",0,0,"No","No","1218.08","170.28","60.88","1680.02","112","71106.600000000006","0","0","90","70130.3"
