"","Ecode","Authority","Class","...4","1. Council Tax Requirement for billing authority including special expenses, local precepts and Adult Social Care Precept.","...6","2. Parish precepts","...8","3. Council Tax Requirement for billing authority (including special expenses and Adult Social Care precept, but excluding local precepts)","...10","3a. Levies and special levies","...12","4. Tax base (after council tax reduction scheme)","...14","5. Estimated collection rate (%)","...16","6. Tax base adjustment (contributions in lieu of Class O exempt dwellings)","...18","7. Council tax base for council tax setting purposes","...20","8. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and local precepts)","...22","9. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and excluding local precepts)","...24","10. Total Adult Social Care precept","11a. Adult Social Care precept element of the 2019-20 Average (Band D 2 Adult equivalent) council tax (£)","11b. Adult Social Care precept as a percentage of the 2018-19 Average Band D 2 Adult equivalent council tax, excluding local precepts, (maximum 2%)","14. Is the council tax your authority set subject to a referendum?","15. Are one or more precepting authorities in your area holding a referendum?","16. Average council tax of major precepting authorities in the billing authority's area","...31","...32","...33","17. Average (Band D 2 adult equivalent) council tax for area of the billing authority including both local and major precepts.  (Lines 8+ 16(a) + 16(b) + 16(c) +16(d))","18. All parishes that exist in the authority's area in 2019-20 (whether they set a precept or not)","...36","19. Charter Trustees in the authority's area - 2019-20","...38","20. Precepting parishes, Charter Trustees and Temples in the authority's area setting a precept in 2019-20","...40","12. How do you wish to apply the referendum priniciples?","Local authority...42","Taxbase for setting council tax...43","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...44","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...45","Total Adult Social Care precept...46","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...47","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...48","Local authority...49","Taxbase for setting council tax...50","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...51","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...52","Total Adult Social Care precept...53","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...54","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...55","Local authority...56","Taxbase for setting council tax...57","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...58","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...59","Total Adult Social Care precept...60","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...61","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...62","Local authority...63","Taxbase for setting council tax...64","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...65","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...66","Total Adult Social Care precept...67","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...68","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...69","Local authority...70","Taxbase for setting council tax...71","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...72","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...73","Total Adult Social Care precept...74","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...75","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...76","Local authority...77","Taxbase for setting council tax...78","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...79","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...80","Total Adult Social Care precept...81","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...82","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...83"
"1",NA,NA,NA,NA,"2018-19","2019-20","2018-19","2019-20","2018-19","2019-20","2018-19","2019-20","2018-19","2019-20","2018-19","2019-20","2018-19","2019-20","2018-19","2019-20","2018-19","2019-20","2018-19","2019-20",NA,NA,NA,NA,NA,"County or GLA","Police","Fire","Combined Authority",NA,"Number","CTB","Number","Tax Base","Number","Tax Base",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Eng","England (R)",NA,NA,"29562579766.7262","31448380382.939568","517629080.34999996","554492405.31000006","29044950686.376202","30893887977.629566","1272413379","1255337181.5911694","17973699.537039474","18250749.929484956","98.208645602559642","98.277348105148135","34904.019999999997","35386.58","17686630.899999999","17971739.620000005","1671.4647314049055","1749.87959139704","1642.1980449864086","1719.0260170055567",200338617.79,"11.147424902987771","0.68","-","-","-","-","-","-","1749.87959139704","10203","8165588.2199999979","16","363633.83999999997","8859","8253828.6699999962","-",NA,"-","-","-","-","-","-",NA,"-","-","-","-","-","-",NA,"-","-","-","-","-","-",NA,"-","-","-","-","-","-",NA,"-","-","-","-","-","-",NA,"-","-","-","-","-","-"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","E3831","Adur","SD",NA,"6489160","6751850","404900","404900","6084260","6346950","273870","321550","21570.3","21850.5","97","97","0","0","20923.2","21195","310.14","318.56","290.79000000000002","299.43",0,"0","0","No","No","1383.57","189.91","0","0","1892.04","3","9013.5","0","0","2","8993.7999999999993","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"5","E0931","Allerdale","SD",NA,"7124220.79","7502240.6900000004","2024055","2197940","5100165.79","5304300.6900000004","0","0","30822.26","31129.41","98.5","98.5","0","0","30359.9","30662.5","234.66","244.67","167.99","172.99",0,"0","0","No","No","1385.28","256.68","0","0","1886.63","60","30662.5","0","0","59","30644.7","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"6","E1031","Amber Valley","SD",NA,"8259733","8594212","1932170","2009638","6327563","6584574","0","0","39567.160000000003","39938.050000000003","99","99","1.2","1.2","39172.699999999997","39539.9","210.85","217.36","161.53","166.53",0,"0","0","No","No","1322.88","216.6","76.22","0","1833.0600000000002","34","39539.86","0","0","31","38135.61","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"7","E3832","Arun","SD",NA,"14925762","15664026","4270849","4534171","10654913","11129855","167000","206000","60766.6","61650.9","99.4","99.4","0","0","60402","61281","247.11","255.61","176.4","181.62",0,"0","0","No","No","1383.57","189.91","0","0","1829.09","30","61281","0","0","26","61052","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"8","E3031","Ashfield","SD",NA,"6436056","6510143","289819","289351","6146237","6220792","0","0","33381.699999999997","33787.42","99.1","99.1","59.2","59.2","33140.5","33542.5","194.21","194.09","185.46","185.46",0,"0","0","No","No","1476.06","219.33","79.8","0","1969.2799999999997","2","4258.8999999999996","0","0","2","4258.8999999999996","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"9","E2231","Ashford","SD",NA,"8809090","9609079","1614400","2052799","7194690","7556280","256250","259130","46141.4","46969.7","99","99","0","0","45680","46500","192.84","206.65","157.5","162.5",0,"0","0","No","No","1299.42","193.15","77.760000000000005","0","1776.9800000000002","41","34712","0","0","41","34712","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"10","E0431","Aylesbury Vale","SD",NA,"17415399","18303997","5768499","6139797","11646900","12164200","0","0","73178.7","74132.800000000003","98.5","98.5","426","426","72507","73446.8","240.19","249.21","160.63","165.62",0,"0","0","No","No","1329.64","206.28","64.569999999999993","0","1849.7","112","73446.8","0","0","90","72461.2","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
