ecode,onscode,authority.x,region,class.x,tstb_1516,tstb_1617,tstb_1718,tstb_1819,tstb_1920,tstb_2021,tstb_2122,tstb_2223,tstb_2324
TE,TE,England,Eng,Eng,NA,NA,NA,NA,NA,NA,NA,NA,18749055
ILB,ILB,Inner London Boroughs,[z],ILB,1044140.7000000001,1085243.8999999999,1115078.8,1149568.2,1173151.7,1196317.7000000002,1184479.0999999999,1204564.13625,1228464.2
OLB,OLB,Outer London Boroughs,[z],OLB,1674441.6999999997,1725504.7000000002,1764125.7999999998,1797959.5,1829732.2,1854129.0099999998,1836871.4000000001,1869008.9479999999,1894198.2
MD,MD,Metropolitan Districts,[z],MD,2900689.0999999996,2967540.2,3025672.9000000008,3078077.6000000006,3130572.2699999996,3174694.3,3143574.7,3211192.2555499999,3261768.3
UA,UA,Unitary Authorities,[z],UA,3668885.0500000012,3755768.3,3827896.8000000007,3896995.0999999992,4129754.6999999988,4415463.9000000004,4640944.7,4728082.6319600008,5424328.5
SD,SD,Shire Districts,[z],SD,7383616.1674999949,7517622.2000000048,7646754.6999999974,7764030.5000000028,7708528.7499999963,7591742.6000000043,7333216.6799999988,7460510.8745400002,6940295.8
CA,CA,Combined Authorities,[z],CA,NA,NA,NA,734596.3,1155827.7,1175015.7,1164190.1400000001,1193334.8999999999,1519228.9
SC,SC,Shire Counties,[z],SC,7383613.6799999997,7517289.379999999,7647074.96,7764129.3099999996,7708529.0699999994,7591928.2400000012,7333215.96,7460901.1800000016,6940294.979999999
[z],E12000007,Greater London Authority,L,GLA,NA,NA,NA,NA,NA,NA,NA,NA,0
E5101,[z],of which: Whole of GLA's area,[z],[z],NA,NA,NA,2947528.6,3002883.2,3050446.2,3021350.6700000004,3073573.4,3122662
E5102,[z],of which: London Boroughs less City of London (GLA - Police function),[z],[z],NA,NA,NA,2940317.6,2995098.2,3042297.1,3013181.03,3065256.1,3113799.1
E6348,E47000001,Greater Manchester Combined Authority,NW,[z],NA,NA,NA,-,-,-,-,-,793084.3
E6348b,[z],of which: Greater Manchester Combined Authority - General Functions,[z],CA,NA,NA,NA,NA,NA,NA,NA,NA,793084.3
E6353,E47000003,West Yorkshire Combined Authority,YH,[z],NA,NA,NA,NA,NA,NA,NA,-,675184.2
E6353b,[z],of which: West Yorkshire Combined Authority - General Functions,[z],CA,NA,NA,NA,NA,NA,NA,NA,NA,0
