"","region","name","value"
"1","E","X1",0.0195706358907172
"2","E","X2",0.0182364628398305
"3","E","X3",0.0153678239638047
"4","E","X4",0.0158066974909462
"5","E","X5",0.0151714598999938
"6","E","X7",0.0195883618369337
"7","E","X8",0.0144234197105354
"8","E","X1",0.0214837409098878
"9","E","X2",0.0176116564451966
"10","E","X3",0.0163397509093313
"11","E","X4",0.0154650175673998
"12","E","X5",0.0158287513663222
"13","E","X7",0.0179445982632058
"14","E","X8",0.0149349923336561
"15","E","X1",0.0339023014347478
"16","E","X2",0.024355077504975
"17","E","X3",0.0237298523349122
"18","E","X4",0.0187805529359401
"19","E","X5",0.0158390439270729
"20","E","X7",0.0172845170561972
"21","E","X8",0.0159714164603893
"22","E","X1",0.0195956931576742
"23","E","X2",0.0166359690568092
"24","E","X3",0.0157430323730184
"25","E","X4",0.0135735485917726
"26","E","X5",0.01565385461285
"27","E","X7",0.0150764960870475
"28","E","X8",0.0146580147549688
"29","E","X1",0.0242095291366547
"30","E","X2",0.0190102429928385
"31","E","X3",0.0159541852444566
"32","E","X4",0.0177359777139018
"33","E","X5",0.0157699468846603
"34","E","X7",0.0216420159732163
"35","E","X8",0.0187432207877861
"36","E","X1",0.0188645391902852
"37","E","X2",0.0183390602679433
"38","E","X3",0.0150220008675658
"39","E","X4",0.0134760436006178
"40","E","X5",0.0136564273255639
"41","E","X7",0.0182286991403881
"42","E","X8",0.0139605041588984
"43","E","X1",0.0213101192167047
"44","E","X2",0.0165297584815339
"45","E","X3",0.0198832474566753
"46","E","X4",0.0165348283125455
"47","E","X5",0.0134514060032244
"48","E","X7",0.0165312092336321
"49","E","X8",0.0135232144334755
"50","E","X1",0.0219806230719456
"51","E","X2",0.0192218305468327
"52","E","X3",0.0183442224663116
"53","E","X4",0.0165915757868169
"54","E","X5",0.0139215800302861
"55","E","X7",0.0183747536667223
"56","E","X8",0.0151071218452811
"57","E","X1",0.021131495218143
"58","E","X2",0.0197883949069637
"59","E","X3",0.0190729822390486
"60","E","X4",0.0166350320283731
"61","E","X5",0.0141188625724166
"62","E","X7",0.0232184697735676
"63","E","X8",0.0109012617739569
"64","EM","X1",0.0195706358907172
"65","EM","X2",0.0182364628398305
"66","EM","X3",0.0153678239638047
"67","EM","X4",0.0158066974909462
"68","EM","X5",0.0151714598999938
"69","EM","X7",0.0195883618369337
"70","EM","X8",0.0144234197105354
"71","EM","X1",0.0214837409098878
"72","EM","X2",0.0176116564451966
"73","EM","X3",0.0163397509093313
"74","EM","X4",0.0154650175673998
"75","EM","X5",0.0158287513663222
"76","EM","X7",0.0179445982632058
"77","EM","X8",0.0149349923336561
"78","EM","X1",0.0339023014347478
"79","EM","X2",0.024355077504975
"80","EM","X3",0.0237298523349122
"81","EM","X4",0.0187805529359401
"82","EM","X5",0.0158390439270729
"83","EM","X7",0.0172845170561972
"84","EM","X8",0.0159714164603893
"85","EM","X1",0.0195956931576742
"86","EM","X2",0.0166359690568092
"87","EM","X3",0.0157430323730184
"88","EM","X4",0.0135735485917726
"89","EM","X5",0.01565385461285
"90","EM","X7",0.0150764960870475
"91","EM","X8",0.0146580147549688
"92","EM","X1",0.0242095291366547
"93","EM","X2",0.0190102429928385
"94","EM","X3",0.0159541852444566
"95","EM","X4",0.0177359777139018
"96","EM","X5",0.0157699468846603
