region,tstb_1516,tstb_1617,tstb_1718,tstb_1819,tstb_1920,tstb_2021,tstb_2122,tstb_2223,tstb_2324
[z],24055386.397499993,24568968.680000003,25026603.959999997,31338606.410000004,31678250.089999996,31917019.050000004,31506834.24,32073089.526300002,31925811.08
E,1855447.12,1891759.4,1926258.4,1955860.8,2128587.7,2160945.8,2155074.3,2198244.11946,2229736.5
EE,1640404.8,1669326.45,1698027.31,1722315.45,1748273.1199999999,1773623.6800000002,1769207.67,1802956.37,1828206.28
EM,2005085.77,2046036.31,2081170.3800000001,2114549.35,2145758.1,2179345.61,2435663.34,2478226.43575,2514561.2
Eng,0,0,0,0,0,0,0,0,18749055
L,2718582.4,2810748.6,2879204.6,2947527.7,3002883.9,3050446.71,3021350.5,3073573.08425,3122662.4
NE,673607.2,686807,698232.7,709225,718851.7,730104.5,727161.9,738124.95354,748944.4
NW,2134005.38,2183717.29,2225068.5100000002,2261266.84,2299909.8,2334710.3,2323407.7,2371922.4523,3385065.5
SE,5135545.5475,5230186.28,5323148.25,5402163.03,5474082.46,5772643.39,5755958.09,5857837.05321,5938936.4
SW,1843294.92,1881750.6,1913003.54,1950497.16,2272156.52,2299979.92,2288566.25,2327273.96807,2563592.3
WM,2235486.82,2281830.71,2324873.04,2367015.41,2406348.94,2441099.37,2429500,2473900.47769,2509322.4
YH,1248510.8,1274893.7,1300121.8,1324919,1346959.07,1365976.6,1351904.5,1383293.65377,2316591.1
